order,action_class,label,trigger_summary,required_conditions,fdist_role,does_not_apply_when,threshold_notes,example,questions_for_cursor
1,protect_from_fire,Protect from fire,Plantation EVT majority,EVT_MAJORITY in plantation codes (config/evt_rules_draft.csv; currently 9312),Ignored — plantation checked before FDist/WFE/people,Never overridden by later rules; insects/fuel-add do not change this action,Binary EVT flag not a percentile,Managed pine plantation (even with insect fuel-add) → protect,
2,wetlands_assess_locally,Wetlands - assess locally,Peat/wetland EVT majority,EVT_MAJORITY in peat codes (evt_rules_draft.csv),Ignored — peat checked before FDist/WFE/people,Never overridden by later rules,Binary EVT flag,Large acidic fen/peat majority → wetlands assess,
3,treat_fire_risk_for_people,Treat fire risk for people,High WFE AND high people,High WFE + high WRTC Housing Unit Risk; not plantation/peat,Not required for trigger; FDist may still raise SCORE_PEOPLE,Skipped if plantation or peat already matched,High WFE: WFE_CAT in High/Very High OR MEAN >= 70th percentile (top 30%). High people: WRTC_HU_RISK_MEAN >= 70th percentile (top 30%),Hot jack pine next to lake homes → treat for people,
4,ecosystem_health_focus,Ecosystem health focus,High WFE AND NOT high people,High WFE + not-high people; not plantation/peat,Not required for trigger; may raise score,Skipped if plantation/peat or step 3 matched,Same high-WFE definition as row 3,Hot continuous pine far from housing → ecosystem,
5,treat_fire_risk_for_people,Treat fire risk for people,High fuel-add AND high people (WFE not already high),FDIST_FUEL_DELTA >= fdist_fuel_add_min (default 0.25) AND high people; WFE not high; not plantation/peat,**Primary FDist→people path** — recent fuel add near homes when WFE is soft,Skipped if plantation/peat/high-WFE steps already matched,FDIST_FUEL_DELTA = hex mean of pixel FUEL_DIRECTION_1 (-1 remove / 0 neutral / +1 add) from other_outputs/LF2024_FDist.csv. High fuel-add sets FDIST_FUEL_ADD=1,Low WFE + ice storm / insect mortality near homes → treat for people,
6,ecosystem_health_focus,Ecosystem health focus,High fuel-add AND NOT high people (WFE not already high),FDIST_FUEL_DELTA >= 0.25 AND not-high people; WFE not high; not plantation/peat,**Primary FDist→ecosystem path**,Skipped if earlier steps matched,Same FDist threshold as row 5,Remote insect/windthrow fuel-add → ecosystem,
7,ecosystem_health_focus,Ecosystem health focus,Pine/barrens EVT list (any people/WFE if not caught above),EVT_MAJORITY in config/evt_pine_barrens.csv; not plantation/peat; not already high-WFE or high-fuel-add path,Not required — pine acts even if FDist ~0,If high WFE or high fuel-add already assigned people/ecosystem above those win first; pine alone still catches remaining pine hexes,12 EVT codes (jack/red pine forests barrens oak barrens etc.). Review if pine-hemlock 7366 too broad,Red pine majority low WFE quiet FDist → ecosystem,
8,defer_monitor,Defer / monitor,Nothing above matched,Not plantation; not peat; not high WFE; not high fuel-add; not pine/barrens list,Fuel-add below 0.25 does not trigger action (may still slightly affect score if delta>0),N/A — terminal default,Excluded from Goldilocks ranking (GOLDILOCKS_PRIORITY always 0),Northern hardwoods low WFE FDist 0.1 → defer,
,,,CONTEXT ONLY — not action triggers,,,,,
—,PADUS_FRAC,PAD context (GAP 1-3 frac),Map/Leaflet context only — NOT an action trigger and NOT in SCORE_PEOPLE,Hex overlap with PAD GAP 1-3,None,Does not pick ACTION_CLASS,Shown as separate Leaflet layer / popup,National forest hex with high PAD frac still follows WFE/people/pine rules for action,
—,EVT_FIRE,EVT fire flag (-1/0/1),Context/popup only — NOT an action trigger,Joined from other_outputs/evt_aoi_attributes.csv FIRE column on EVT_MAJORITY,None,FIRE=-1 (developed) does NOT auto-protect; people come from WRTC. FIRE=1 alone does NOT assign ecosystem (must be on pine list or other rules),-1 bad if burned / developed; 0 not fire-dependent; 1 fire-dependent (includes many wetlands — do not use raw FIRE=1 for actions),Developed EVT FIRE=-1 with high WRTC+WFE → treat for people via WRTC not via FIRE,
—,FIRE_DEP_HEX,BpS/MFRI fire-dependent,Context/validation only — NOT an action trigger,BpS majority FRI_ALLFIR in (0 100],None,Does not pick ACTION_CLASS,Premise check in script 04 vs high WFE,Long-interval BpS under high WFE flagged in console only,
—,FDIST_FUEL_DELTA (below threshold),Mild or negative fuel change,No action from FDist alone if delta < 0.25,Hex mean of FUEL_DIRECTION_1,Values in (0 0.25) = mild add score bump only; negative = net fuel remove no action,Does not by itself change ACTION_CLASS,Pixel: insects/windthrow=+1; fire/mastication/mech remove/mech add(chipping)=-1; unknown/none=0,Recent prescribed fire (fuel remove) on hardwoods → still defer unless other triggers,
,,,GOLDILOCKS (priority not action),,,,,
—,GOLDILOCKS_PRIORITY,Priority band 0-3,Ranking among actionable hexes only — not a separate action,ACTION_CLASS not defer_monitor; ranked by SCORE_PEOPLE,Positive FDist fuel-add increases SCORE_PEOPLE via w_fuel_add so fuel-add hexes can enter top bands,defer_monitor always priority 0,3=top 5%; 2=top 10%; 1=top 15%; 0=rest. Percents of actionable pool,High people + high WFE often priority 3,
—,SCORE_PEOPLE,People-first score,Used for Goldilocks only,w_homes*WRTC + w_plantations*plantation + w_wfe*WFE + w_fuel_add*max(0 FDIST_FUEL_DELTA); PAD weight=0,Fuel-add term uses only positive delta,Does not assign ACTION_CLASS by itself,See config/weight_presets.csv people_first,Quiet pine can be ecosystem but low score → Goldilocks 0,
